Center Name,Incident ID,Closed,Completed,Alert,Q1,Q2,Q3,Q4,Q5,Resolution,Comments,Contact Me
Library IT Help Desk,172788,2/15/2013,,FALSE,,,,,,,,
CCS Help Centre,172791,2/15/2013,,FALSE,,,,,,,,
Library IT Help Desk,172792,2/15/2013,2/17/2013 10:54:39,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,172793,2/15/2013,,FALSE,,,,,,,,
Library IT Help Desk,172756,2/15/2013,2/15/2013 12:57:40,TRUE,5,5,5,5,5,TRUE,,TRUE
CCS Help Centre,172804,2/15/2013,2/15/2013 12:30:22,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,172004,2/15/2013,,FALSE,,,,,,,,
CCS Help Centre,172817,2/15/2013,,FALSE,,,,,,,,
CCS Help Centre,172787,2/15/2013,,FALSE,,,,,,,,
CCS Help Centre,172659,2/14/2013,,FALSE,,,,,,,,
CCS Help Centre,172672,2/14/2013,,FALSE,,,,,,,,
CCS Help Centre,172684,2/14/2013,2/14/2013 12:12:14,FALSE,5,5,5,5,5,TRUE,,FALSE
Library IT Help Desk,172699,2/14/2013,,FALSE,,,,,,,,
CCS Help Centre,172702,2/14/2013,2/14/2013 13:50:38,FALSE,5,5,5,5,5,,very good thaks,FALSE
CCS Help Centre,172701,2/14/2013,,FALSE,,,,,,,,
Library IT Help Desk,172704,2/14/2013,,FALSE,,,,,,,,
Library IT Help Desk,172708,2/14/2013,2/14/2013 16:10:03,TRUE,5,5,5,5,5,TRUE,Thank you for the help!,FALSE
CCS Help Centre,172706,2/14/2013,,FALSE,,,,,,,,
CCS Help Centre,172722,2/14/2013,2/14/2013 13:35:13,FALSE,5,4,5,5,4,TRUE,,FALSE
CCS Help Centre,172716,2/14/2013,2/15/2013 8:26:59,FALSE,5,5,5,5,5,TRUE,,FALSE
Library IT Help Desk,172707,2/14/2013,,FALSE,,,,,,,,
CCS Help Centre,172729,2/14/2013,,FALSE,,,,,,,,
Library IT Help Desk,172739,2/14/2013,,FALSE,,,,,,,,
CCS Help Centre,172570,2/13/2013,,FALSE,,,,,,,,
CCS Help Centre,172575,2/13/2013,,FALSE,,,,,,,,
Library IT Help Desk,172579,2/13/2013,2/13/2013 11:18:39,TRUE,5,4,5,4,4,TRUE,It was good that we got the other software downloaded but I'm still wondering why the other one wouldn't work!,FALSE
CCS Help Centre,172581,2/13/2013,,FALSE,,,,,,,,
CCS Help Centre,172583,2/13/2013,2/14/2013 7:39:24,FALSE,5,4,4,5,5,TRUE,,FALSE
CCS Help Centre,172584,2/13/2013,,FALSE,,,,,,,,
Library IT Help Desk,172598,2/13/2013,,FALSE,,,,,,,,
CCS Help Centre,172600,2/13/2013,,FALSE,,,,,,,,
CCS Help Centre,172602,2/13/2013,,FALSE,,,,,,,,
Library IT Help Desk,172595,2/13/2013,,FALSE,,,,,,,,
CCS Help Centre,172624,2/13/2013,,FALSE,,,,,,,,
CCS Help Centre,172626,2/13/2013,2/13/2013 12:58:14,TRUE,5,5,5,5,5,TRUE,"Super quick response, fixed my issue right away. Great service",FALSE
CCS Help Centre,172631,2/13/2013,2/13/2013 13:32:41,FALSE,4,4,4,4,4,TRUE,,FALSE
Library IT Help Desk,172639,2/13/2013,,FALSE,,,,,,,,
CCS Help Centre,172646,2/13/2013,,FALSE,,,,,,,,
Library IT Help Desk,172656,2/13/2013,,FALSE,,,,,,,,
Library IT Help Desk,172657,2/13/2013,,FALSE,,,,,,,,
CCS Help Centre,172459,2/12/2013,,FALSE,,,,,,,,
CCS Help Centre,172463,2/12/2013,2/12/2013 8:29:19,TRUE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,172465,2/12/2013,,FALSE,,,,,,,,
CCS Help Centre,172475,2/12/2013,,FALSE,,,,,,,,
Library IT Help Desk,172476,2/12/2013,,FALSE,,,,,,,,
Library IT Help Desk,172481,2/12/2013,,FALSE,,,,,,,,
CCS Help Centre,172464,2/12/2013,,FALSE,,,,,,,,
CCS Help Centre,172482,2/12/2013,,FALSE,,,,,,,,
CCS Help Centre,172484,2/12/2013,,FALSE,,,,,,,,
CCS Help Centre,172483,2/12/2013,,FALSE,,,,,,,,
Library IT Help Desk,172486,2/12/2013,2/12/2013 14:10:48,TRUE,5,5,5,5,5,TRUE,Knew what he was doing.,FALSE
CCS Help Centre,172495,2/12/2013,,FALSE,,,,,,,,
Library IT Help Desk,172494,2/12/2013,,FALSE,,,,,,,,
CCS Help Centre,172510,2/12/2013,2/12/2013 13:38:14,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,172518,2/12/2013,2/12/2013 20:27:23,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,172530,2/12/2013,2/12/2013 23:25:58,TRUE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,172542,2/12/2013,,FALSE,,,,,,,,
Library IT Help Desk,172556,2/12/2013,,FALSE,,,,,,,,
Library IT Help Desk,172490,2/12/2013,2/12/2013 17:14:03,FALSE,5,5,5,5,5,,,FALSE
CCS Help Centre,172324,2/11/2013,,FALSE,,,,,,,,
Library IT Help Desk,172350,2/11/2013,2/11/2013 9:46:45,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,172214,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,171937,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,171882,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,171774,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,171854,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,171893,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,172352,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,171904,2/11/2013,2/11/2013 7:40:23,TRUE,5,5,2,5,4,TRUE,"The only suggestion would be to improve response time. I was on hold for quite a while before my question was answered. Otherwise, service was great! Thank you!",FALSE
CCS Help Centre,171782,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,172026,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,172084,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,172360,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,172366,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,172088,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,172371,2/11/2013,,FALSE,,,,,,,,
Library IT Help Desk,172389,2/11/2013,2/11/2013 11:45:15,TRUE,5,5,5,5,5,TRUE,"The gentleman who helped me today was wonderful and very helpful. He guided me through the process so that if I struggle with it again in the future I can fix it on my own, which is great for me. He was incredibly nice and made me feel super comfortable. Thank you!! :)",FALSE
CCS Help Centre,172392,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,172397,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,172402,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,172403,2/11/2013,,FALSE,,,,,,,,
Library IT Help Desk,172405,2/11/2013,,FALSE,,,,,,,,
CCS Help Centre,172415,2/11/2013,2/11/2013 19:20:40,TRUE,5,4,5,NA,5,TRUE,Excellent customer service! Thanks for the prompt and efficient help.,FALSE
Library IT Help Desk,172437,2/11/2013,,FALSE,,,,,,,,
Library IT Help Desk,172424,2/11/2013,2/12/2013 9:17:01,FALSE,5,5,5,5,5,TRUE,,FALSE
Library IT Help Desk,172443,2/11/2013,,FALSE,,,,,,,,
Library IT Help Desk,172329,2/10/2013,,FALSE,,,,,,,,
Library IT Help Desk,172330,2/10/2013,,FALSE,,,,,,,,
CCS Help Centre,172315,2/9/2013,2/9/2013 16:40:18,TRUE,5,5,5,5,5,TRUE,Thanks for the help!,FALSE
Library IT Help Desk,172320,2/9/2013,,FALSE,,,,,,,,
Library IT Help Desk,172321,2/9/2013,2/9/2013 15:40:11,FALSE,5,5,5,5,5,TRUE,,FALSE
Library IT Help Desk,172319,2/9/2013,2/9/2013 13:22:02,TRUE,5,5,5,5,5,TRUE,"I was extremely impressed with the service I received today. ??? was extremely knowledgeable and knew how to solve the problem efficiently. I also appreciate how he informed me of the steps he was taking to resolve the problem, as well as ways to prevent these situations from reoccurring. He spoke effectively while using simple terms that were easy to comprehend. Overall this service exceeded my expectations and I would definitely recommend this service to anyone in need!",FALSE
Library IT Help Desk,172323,2/9/2013,2/9/2013 13:46:51,TRUE,5,5,5,5,5,TRUE,Amazing help! Thank you so much!!,FALSE
CCS Help Centre,171790,2/8/2013,2/9/2013 5:43:12,TRUE,5,5,5,5,5,TRUE,"Thank you for getting back to me as quickly as you did, and for providing very clear instructions.",FALSE
CCS Help Centre,172133,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172126,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172128,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172142,2/7/2013,,FALSE,,,,,,,,
Library IT Help Desk,172043,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172148,2/7/2013,2/7/2013 7:10:52,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,172158,2/7/2013,2/7/2013 7:17:25,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,172160,2/7/2013,2/7/2013 7:45:43,TRUE,5,5,5,5,5,TRUE,Great and thanks!,FALSE
CCS Help Centre,172176,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172173,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172181,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172186,2/7/2013,,FALSE,,,,,,,,
Library IT Help Desk,172189,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172177,2/7/2013,,FALSE,,,,,,,,
Library IT Help Desk,172130,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172196,2/7/2013,2/7/2013 13:27:57,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,170875,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172203,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172188,2/7/2013,2/7/2013 10:21:19,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,172208,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172216,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172222,2/7/2013,,FALSE,,,,,,,,
Library IT Help Desk,172226,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172229,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172244,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172245,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172068,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172254,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,172261,2/7/2013,2/11/2013 10:18:46,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,172273,2/7/2013,,FALSE,,,,,,,,
Library IT Help Desk,172278,2/7/2013,,FALSE,,,,,,,,
Library IT Help Desk,172279,2/7/2013,2/7/2013 16:43:52,TRUE,NA,4,5,5,5,FALSE,"No idea how to fix MacBooks, however was apologetic",FALSE
Library IT Help Desk,172282,2/7/2013,2/7/2013 21:09:45,FALSE,5,5,5,5,5,TRUE,,FALSE
Library IT Help Desk,172286,2/7/2013,,FALSE,,,,,,,,
CCS Help Centre,171092,2/6/2013,,FALSE,,,,,,,,
Library IT Help Desk,171578,2/6/2013,,FALSE,,,,,,,,
Library IT Help Desk,172062,2/6/2013,,FALSE,,,,,,,,
CCS Help Centre,172064,2/6/2013,,FALSE,,,,,,,,
Library IT Help Desk,172072,2/6/2013,2/6/2013 10:53:40,TRUE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,172075,2/6/2013,,FALSE,,,,,,,,
CCS Help Centre,171425,2/6/2013,,FALSE,,,,,,,,
CCS Help Centre,171587,2/6/2013,,FALSE,,,,,,,,
CCS Help Centre,171703,2/6/2013,,FALSE,,,,,,,,
CCS Help Centre,172091,2/6/2013,,FALSE,,,,,,,,
Library IT Help Desk,172090,2/6/2013,,FALSE,,,,,,,,
CCS Help Centre,172094,2/6/2013,,FALSE,,,,,,,,
Library IT Help Desk,172096,2/6/2013,,FALSE,,,,,,,,
CCS Help Centre,172105,2/6/2013,,FALSE,,,,,,,,
CCS Help Centre,172110,2/6/2013,,FALSE,,,,,,,,
CCS Help Centre,172114,2/6/2013,,FALSE,,,,,,,,
CCS Help Centre,172118,2/6/2013,,FALSE,,,,,,,,
CCS Help Centre,172120,2/6/2013,,FALSE,,,,,,,,
CCS Help Centre,172122,2/6/2013,,FALSE,,,,,,,,
Library IT Help Desk,172127,2/6/2013,2/7/2013 9:37:45,FALSE,5,5,4,5,5,FALSE,,FALSE
Library IT Help Desk,171978,2/5/2013,,FALSE,,,,,,,,
Library IT Help Desk,171989,2/5/2013,,FALSE,,,,,,,,
Library IT Help Desk,171915,2/5/2013,2/5/2013 10:41:59,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,171992,2/5/2013,2/5/2013 9:52:18,TRUE,5,5,5,5,5,TRUE,email response wasn't as timely as phone call,FALSE
CCS Help Centre,171994,2/5/2013,,FALSE,,,,,,,,
CCS Help Centre,171996,2/5/2013,2/5/2013 11:29:39,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,171513,2/5/2013,,FALSE,,,,,,,,
Library IT Help Desk,172000,2/5/2013,,FALSE,,,,,,,,
Library IT Help Desk,172002,2/5/2013,2/12/2013 6:38:25,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,172004,2/5/2013,,FALSE,,,,,,,,
CCS Help Centre,171997,2/5/2013,2/5/2013 12:09:12,FALSE,5,4,5,4,4,TRUE,,FALSE
Library IT Help Desk,172007,2/5/2013,,FALSE,,,,,,,,
Library IT Help Desk,172009,2/5/2013,,FALSE,,,,,,,,
CCS Help Centre,172010,2/5/2013,,FALSE,,,,,,,,
Library IT Help Desk,171966,2/5/2013,,FALSE,,,,,,,,
CCS Help Centre,172015,2/5/2013,,FALSE,,,,,,,,
Library IT Help Desk,172022,2/5/2013,,FALSE,,,,,,,,
CCS Help Centre,172027,2/5/2013,,FALSE,,,,,,,,
Library IT Help Desk,172030,2/5/2013,,FALSE,,,,,,,,
CCS Help Centre,171272,2/4/2013,2/4/2013 7:35:12,TRUE,3,3,1,2,1,FALSE,I got an email regarding my problem 2 weeks after the fact.,FALSE
CCS Help Centre,171802,2/4/2013,,FALSE,,,,,,,,
CCS Help Centre,171806,2/4/2013,,FALSE,,,,,,,,
CCS Help Centre,171765,2/4/2013,,FALSE,,,,,,,,
Library IT Help Desk,171805,2/4/2013,,FALSE,,,,,,,,
CCS Help Centre,171816,2/4/2013,,FALSE,,,,,,,,
CCS Help Centre,171813,2/4/2013,2/4/2013 8:20:50,FALSE,4,4,4,4,4,TRUE,,FALSE
CCS Help Centre,171819,2/4/2013,,FALSE,,,,,,,,
CCS Help Centre,171834,2/4/2013,,FALSE,,,,,,,,
Library IT Help Desk,171845,2/4/2013,2/4/2013 10:31:48,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,171857,2/4/2013,,FALSE,,,,,,,,
CCS Help Centre,171867,2/4/2013,,FALSE,,,,,,,,
CCS Help Centre,171794,2/4/2013,,FALSE,,,,,,,,
CCS Help Centre,171869,2/4/2013,,FALSE,,,,,,,,
CCS Help Centre,171875,2/4/2013,,FALSE,,,,,,,,
Library IT Help Desk,171874,2/4/2013,,FALSE,,,,,,,,
Library IT Help Desk,171877,2/4/2013,,FALSE,,,,,,,,
CCS Help Centre,171888,2/4/2013,,FALSE,,,,,,,,
Library IT Help Desk,171887,2/4/2013,,FALSE,,,,,,,,
Library IT Help Desk,171898,2/4/2013,,FALSE,,,,,,,,
CCS Help Centre,171907,2/4/2013,2/4/2013 13:27:40,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,171919,2/4/2013,,FALSE,,,,,,,,
CCS Help Centre,171933,2/4/2013,,FALSE,,,,,,,,
CCS Help Centre,171938,2/4/2013,,FALSE,,,,,,,,
Library IT Help Desk,171941,2/4/2013,2/4/2013 15:55:32,TRUE,5,5,5,5,5,TRUE,"Soooo happy for all the help, my laptop is working just as well as before now! Thank you so much!!",FALSE
Library IT Help Desk,171843,2/4/2013,2/7/2013 10:23:51,FALSE,5,5,5,5,5,TRUE,,FALSE
Library IT Help Desk,171942,2/4/2013,2/5/2013 10:42:57,FALSE,5,5,5,5,5,TRUE,,FALSE
Library IT Help Desk,171946,2/4/2013,,FALSE,,,,,,,,
Library IT Help Desk,171947,2/4/2013,,FALSE,,,,,,,,
Library IT Help Desk,171954,2/4/2013,,FALSE,,,,,,,,
Library IT Help Desk,171778,2/3/2013,2/3/2013 15:18:42,TRUE,5,4,4,5,5,TRUE,,TRUE
CCS Help Centre,171779,2/3/2013,2/3/2013 17:42:31,FALSE,5,NA,5,5,5,TRUE,,FALSE
Library IT Help Desk,171789,2/3/2013,,FALSE,,,,,,,,
CCS Help Centre,171788,2/3/2013,,FALSE,,,,,,,,
CCS Help Centre,171785,2/3/2013,,FALSE,,,,,,,,
Library IT Help Desk,171783,2/3/2013,,FALSE,,,,,,,,
Library IT Help Desk,171781,2/3/2013,,FALSE,,,,,,,,
Library IT Help Desk,171780,2/3/2013,,FALSE,,,,,,,,
Library IT Help Desk,171792,2/3/2013,,FALSE,,,,,,,,
CCS Help Centre,171770,2/2/2013,,FALSE,,,,,,,,
Library IT Help Desk,170666,2/2/2013,,FALSE,,,,,,,,
Library IT Help Desk,171772,2/2/2013,2/5/2013 19:40:05,TRUE,5,5,5,5,5,TRUE,"As a guest at the organic show I needed wi-fi access.  I got great help and support.  Very timely too.  I was most impressed.  Thank you, ??????????",FALSE
Library IT Help Desk,171777,2/2/2013,2/2/2013 14:41:10,TRUE,5,5,4,5,5,TRUE,The service at the IT desk was excellent. Thank you so much!,FALSE
CCS Help Centre,171641,2/1/2013,,FALSE,,,,,,,,
CCS Help Centre,171142,2/1/2013,,FALSE,,,,,,,,
CCS Help Centre,171612,2/1/2013,,FALSE,,,,,,,,
CCS Help Centre,171569,2/1/2013,,FALSE,,,,,,,,
CCS Help Centre,171699,2/1/2013,,FALSE,,,,,,,,
CCS Help Centre,171701,2/1/2013,2/1/2013 9:28:18,TRUE,1,NA,1,2,1,TRUE,,FALSE
Library IT Help Desk,171707,2/1/2013,,FALSE,,,,,,,,
CCS Help Centre,170841,2/1/2013,,FALSE,,,,,,,,
CCS Help Centre,171712,2/1/2013,2/1/2013 12:48:42,TRUE,5,5,5,5,5,TRUE,"fabulous, skilled service!",FALSE
Library IT Help Desk,171718,2/1/2013,2/1/2013 11:42:37,TRUE,5,4,3,5,5,TRUE,Took a while but they were very friendly and helpful,FALSE
CCS Help Centre,171722,2/1/2013,,FALSE,,,,,,,,
Library IT Help Desk,171716,2/1/2013,,FALSE,,,,,,,,
CCS Help Centre,171733,2/1/2013,,FALSE,,,,,,,,
CCS Help Centre,171734,2/1/2013,,FALSE,,,,,,,,
CCS Help Centre,171732,2/1/2013,2/1/2013 13:20:08,FALSE,NA,NA,5,5,5,TRUE,,FALSE
CCS Help Centre,171738,2/1/2013,,FALSE,,,,,,,,
Library IT Help Desk,171740,2/1/2013,,FALSE,,,,,,,,
CCS Help Centre,171755,2/1/2013,,FALSE,,,,,,,,
CCS Help Centre,171753,2/1/2013,,FALSE,,,,,,,,
Library IT Help Desk,171760,2/1/2013,,FALSE,,,,,,,,
CCS Help Centre,171586,1/31/2013,,FALSE,,,,,,,,
CCS Help Centre,171591,1/31/2013,,FALSE,,,,,,,,
Library IT Help Desk,171613,1/31/2013,,FALSE,,,,,,,,
CCS Help Centre,169585,1/31/2013,1/31/2013 14:42:40,FALSE,5,5,5,5,5,,,FALSE
CCS Help Centre,171575,1/31/2013,,FALSE,,,,,,,,
CCS Help Centre,165161,1/31/2013,,FALSE,,,,,,,,
CCS Help Centre,160117,1/31/2013,,FALSE,,,,,,,,
CCS Help Centre,171643,1/31/2013,,FALSE,,,,,,,,
CCS Help Centre,161859,1/31/2013,,FALSE,,,,,,,,
CCS Help Centre,171647,1/31/2013,1/31/2013 12:24:04,FALSE,5,5,5,5,5,TRUE,,FALSE
Library IT Help Desk,171650,1/31/2013,,FALSE,,,,,,,,
Library IT Help Desk,171678,1/31/2013,,FALSE,,,,,,,,
Library IT Help Desk,171661,1/31/2013,,FALSE,,,,,,,,
Library IT Help Desk,171682,1/31/2013,,FALSE,,,,,,,,
CCS Help Centre,171526,1/30/2013,,FALSE,,,,,,,,
Library IT Help Desk,170683,1/30/2013,1/30/2013 8:15:23,TRUE,5,5,4,4,4,TRUE,Found the old website much easier to navigate.,FALSE
Library IT Help Desk,171545,1/30/2013,,FALSE,,,,,,,,
Library IT Help Desk,171549,1/30/2013,,FALSE,,,,,,,,
CCS Help Centre,171556,1/30/2013,1/30/2013 10:20:14,FALSE,5,5,5,5,5,TRUE,,FALSE
Library IT Help Desk,171562,1/30/2013,1/30/2013 12:31:56,TRUE,5,5,4,4,4,TRUE,Everything worked out well for me considering the strange situation.,FALSE
Library IT Help Desk,171564,1/30/2013,,FALSE,,,,,,,,
CCS Help Centre,170635,1/30/2013,,FALSE,,,,,,,,
CCS Help Centre,171572,1/30/2013,,FALSE,,,,,,,,
Library IT Help Desk,171589,1/30/2013,,FALSE,,,,,,,,
CCS Help Centre,170835,1/29/2013,,FALSE,,,,,,,,
CCS Help Centre,171044,1/29/2013,1/29/2013 10:21:13,TRUE,5,3,5,4,4,TRUE,,FALSE
CCS Help Centre,171458,1/29/2013,,FALSE,,,,,,,,
CCS Help Centre,171456,1/29/2013,,FALSE,,,,,,,,
CCS Help Centre,171452,1/29/2013,1/29/2013 9:24:34,FALSE,5,4,5,4,4,TRUE,,FALSE
CCS Help Centre,171447,1/29/2013,1/29/2013 9:28:17,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,171462,1/29/2013,1/29/2013 9:29:19,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,171461,1/29/2013,,FALSE,,,,,,,,
CCS Help Centre,171470,1/29/2013,,FALSE,,,,,,,,
Library IT Help Desk,171479,1/29/2013,,FALSE,,,,,,,,
CCS Help Centre,171489,1/29/2013,,FALSE,,,,,,,,
CCS Help Centre,170865,1/29/2013,,FALSE,,,,,,,,
CCS Help Centre,170506,1/29/2013,,FALSE,,,,,,,,
Library IT Help Desk,171496,1/29/2013,1/29/2013 19:22:20,TRUE,5,5,4,5,3,FALSE,"My question was resolved, (my computer is fried..) but obviously my preferred answer would have been YES YOUR COMPUTER IS NOW FIXED! :D and maybe a little wand waving.....but obviously that's not going to happen. All in all very satisfied!",FALSE
CCS Help Centre,171511,1/29/2013,,FALSE,,,,,,,,
CCS Help Centre,171332,1/28/2013,1/28/2013 13:04:40,FALSE,5,5,5,5,5,TRUE,,FALSE
CCS Help Centre,171335,1/28/2013,,FALSE,,,,,,,,
CCS Help Centre,171352,1/28/2013,,FALSE,,,,,,,,
CCS Help Centre,171372,1/28/2013,,FALSE,,,,,,,,
CCS Help Centre,171376,1/28/2013,,FALSE,,,,,,,,
CCS Help Centre,171377,1/28/2013,,FALSE,,,,,,,,
